timestamp,run_id,condition,scenario,attempt,critique_satisfactory,rubric_feasibility,rubric_level_appropriateness,rubric_gap_coverage,rubric_composite,plan_phases,plan_actions_total,plan_timeline_weeks,action_specificity_ratio,resume_terms_mentioned,resume_terms_total
2026-04-23T03:41:42.471696,66148c98-4a2a-4631-a10e-967fd6b19d47,full,scenario_3_backend,1,True,5,5,5,5.0,3,3,16,0.20224719101123595,18,89
2026-04-23T03:43:01.794409,bea25d23-ce51-43bc-b395-7208bc24a702,full,scenario_3_backend,2,True,5,5,5,5.0,3,3,16,0.2247191011235955,20,89
2026-04-23T03:44:53.104420,9b6d2ba1-3869-45a6-bcae-490671f1acba,full,scenario_3_backend,3,True,5,5,5,5.0,3,3,12,0.23595505617977527,21,89
2026-04-23T03:46:12.228778,257b2954-148d-4b24-b1e9-5587fac5bbf8,full,scenario_3_backend,4,True,5,5,5,5.0,3,3,16,0.1797752808988764,16,89
2026-04-23T03:47:33.818761,c167f77a-f9db-4493-ba13-e11fa37f6a31,full,scenario_3_backend,5,True,5,5,4,5.0,4,4,16,0.20224719101123595,18,89
2026-04-23T03:48:43.649087,49741fef-a5b7-4217-963b-dc84b3289645,full,scenario_3_backend,6,True,5,5,4,5.0,3,3,12,0.1797752808988764,16,89
2026-04-23T03:49:48.985429,fe520e8f-8822-4641-b365-e0df9e45dc4d,full,scenario_3_backend,7,True,5,5,4,5.0,3,3,16,0.21348314606741572,19,89
2026-04-23T03:50:57.767922,6b4d8cf9-66c7-4db8-b72d-e56fc349e43b,full,scenario_3_backend,8,True,5,5,4,5.0,4,4,16,0.19101123595505617,17,89
2026-04-23T03:52:08.876989,9af12901-be96-4578-9e67-bbdc4ba36e11,full,scenario_3_backend,9,True,5,5,4,5.0,3,3,16,0.20224719101123595,18,89
2026-04-23T03:53:46.681999,baa73987-b28d-4d20-90ad-acc247f3930f,full,scenario_3_backend,10,True,5,5,4,5.0,3,3,12,0.2247191011235955,20,89
2026-04-23T03:54:58.074976,7ee2407f-f6af-4414-be51-5482bb64af28,full,scenario_3_backend,11,True,5,5,5,5.0,3,3,12,0.21348314606741572,19,89
2026-04-23T03:56:27.317204,bf76ab4b-79da-46e9-934b-e699a06bfdeb,full,scenario_3_backend,12,True,5,5,5,5.0,3,3,16,0.20224719101123595,18,89
2026-04-23T03:57:49.953319,100a5168-b287-48a2-982a-6121d5002ba1,full,scenario_3_backend,13,True,5,5,4,5.0,3,3,16,0.23595505617977527,21,89
2026-04-23T03:59:12.154157,909cfbaa-81ef-4a3a-9493-6368184ff416,full,scenario_3_backend,14,True,5,5,5,5.0,3,3,16,0.21348314606741572,19,89
2026-04-23T04:00:40.216219,9e495655-b472-45e0-8956-7f98e9bfe8cf,full,scenario_3_backend,15,True,5,5,5,5.0,3,3,16,0.2247191011235955,20,89
2026-04-23T04:03:06.723858,ff6af062-7051-49f8-9d09-cf9db98c04c2,ablation3,scenario_3_backend,1,False,2,5,5,3.5,5,5,20,0.1348314606741573,12,89
2026-04-23T04:03:33.018567,0f2b67b0-40fc-4d16-98ff-037d3a032604,ablation3,scenario_3_backend,2,False,5,5,5,5.0,3,6,12,0.1797752808988764,16,89
2026-04-23T04:03:49.779914,f03348e1-007e-46a0-b475-f0d4eb9c7fa7,ablation3,scenario_3_backend,3,False,2,5,5,3.5,1,1,4,0.056179775280898875,5,89
2026-04-23T04:04:20.978988,9d3f7234-800b-460e-b3bc-47b5febc1aad,ablation3,scenario_3_backend,4,True,5,5,5,5.0,4,8,16,0.1797752808988764,16,89
2026-04-23T04:04:45.597425,806abe4b-dd94-43a1-ac74-0460b736562c,ablation3,scenario_3_backend,5,True,5,5,5,5.0,4,4,16,0.12359550561797752,11,89
2026-04-23T04:05:20.709491,bb0786f1-6736-4c7f-b08e-27253cd590d3,ablation3,scenario_3_backend,6,False,2,5,5,3.5,5,10,20,0.2247191011235955,20,89
2026-04-23T04:05:42.417251,b73ce71f-a761-480e-9aae-a9c25dbc6aa3,ablation3,scenario_3_backend,7,True,5,5,5,5.0,3,6,12,0.12359550561797752,11,89
2026-04-23T04:06:02.700566,442e7896-b391-4f28-a7db-fb2dbe469898,ablation3,scenario_3_backend,8,True,5,5,5,5.0,3,3,12,0.10112359550561797,9,89
2026-04-23T04:06:32.698016,56f2a356-4276-48d3-a787-25bf2854037a,ablation3,scenario_3_backend,9,False,2,5,5,3.5,5,5,20,0.12359550561797752,11,89
2026-04-23T04:06:52.450545,9a7f6d86-1154-4bd1-9c76-cd01224d630d,ablation3,scenario_3_backend,10,True,5,5,5,5.0,3,6,12,0.1797752808988764,16,89
2026-04-23T04:07:12.697358,c8b26aec-5cdf-466c-93bd-1562ccfadc24,ablation3,scenario_3_backend,11,True,5,5,5,5.0,4,4,16,0.11235955056179775,10,89
2026-04-23T04:07:33.544783,acdb3adb-2171-4565-98c0-00ab2ddd7573,ablation3,scenario_3_backend,12,True,5,5,5,5.0,3,6,12,0.15730337078651685,14,89
2026-04-23T04:07:59.108260,d59e11e4-5b73-4494-8e11-c0ef09a9b8dd,ablation3,scenario_3_backend,13,False,2,5,5,3.5,5,5,20,0.11235955056179775,10,89
2026-04-23T04:08:31.055629,fff20ef1-cf4d-4947-a8d5-ee490cfe2182,ablation3,scenario_3_backend,14,False,2,5,5,3.5,5,10,20,0.19101123595505617,17,89
2026-04-23T04:08:54.996115,7478da90-93a2-4195-ad96-5383c68e0fcc,ablation3,scenario_3_backend,15,False,5,5,5,5.0,3,3,12,0.0898876404494382,8,89
